RMSE,r,r_s,K,K_s,start_date,end_date,year,Active_mosq_start,Active_mosq_May1
1936.4544016139034,0.0037680836633411175,-0.11982533956040745,9999.999999999998,191.12989751465923,05-24,05-23,2005,205.287216915694,963.117136274507
4697.3344591378445,-0.06950963506254398,-0.24999999999347078,9999.999999999998,4.018885754286284e-07,05-24,05-23,2006,113.255749993918,942.428126126369
1868.646529958243,-0.0038897053350930946,-0.1258521600839293,9999.999999999998,1015.1217941822827,05-24,05-23,2007,413.060500015018,1075.43888655452
5943.788654157273,-0.026850180985331883,-0.1752057494394744,9999.999999999813,3.4838891460164994e-06,05-24,05-23,2008,400.370475176927,1107.43698209732
4427.811240052857,-0.028844140538241705,-0.1905058612321959,9999.999999999965,2.838508874029444e-08,05-24,05-23,2009,112.91352160788,821.15239569941
4088.2008113591837,-0.04651525922262307,-0.22021217671676874,9999.999107414542,0.016932675212413904,05-24,05-23,2010,243.371775826645,231.705480789747
3736.093786301155,-0.020972935158481792,-0.20902900397583826,9999.999999999998,0.0002522549507614113,05-24,05-23,2011,47.0134786095461,434.144262542211
3242.4989654263522,0.003956288953371677,-0.22323326406701627,9999.999999999998,82.3593644286353,05-24,05-23,2012,67.7233697069014,964.886512355624
6819.742958635195,-0.0363048040791795,-0.19910886238710876,9999.999999930307,0.11405787286015752,05-24,05-23,2013,937.428164230044,732.724765912346
3871.911886659005,0.009575031930554052,-0.1337824706372321,9999.999999998772,1.8927253994925855e-10,05-24,05-23,2014,216.952345291217,822.556808179458
3859.296755933841,0.01140292557882781,-0.17905461356929583,9999.999999999998,48.684259532632666,05-24,05-23,2015,184.086535025581,1988.58876329922
3486.286744037057,-0.020439360462286844,-0.1843645865579428,9999.999999999996,1.8172065992751714e-08,05-24,05-23,2016,230.855983909586,1018.84824055138
6926.390811035499,0.04442665237272118,-0.10414328832785848,9999.999999999998,125.03504354211198,05-24,05-23,2017,227.951143465145,690.889051246741
6086.355634018098,0.031133056500506726,-0.24999999430738448,9999.999999999998,46.19604501321898,05-24,05-23,2018,378.767839062991,4129.79810914551
4606.368256894239,0.009017053873020715,-0.1106579817228484,9999.999960363526,214.63320377177135,05-24,05-23,2019,845.981413107209,2358.60323442551
