metro,date,Rh
rdj,2010-01-03,57
rdj,2010-01-10,74
rdj,2010-01-17,118
rdj,2010-01-24,153
rdj,2010-01-31,209
rdj,2010-02-07,190
rdj,2010-02-14,253
rdj,2010-02-21,459
rdj,2010-02-28,418
rdj,2010-03-07,422
rdj,2010-03-14,477
rdj,2010-03-21,494
rdj,2010-03-28,538
rdj,2010-04-04,566
rdj,2010-04-11,536
rdj,2010-04-18,568
rdj,2010-04-25,744
rdj,2010-05-02,753
rdj,2010-05-09,658
rdj,2010-05-16,580
rdj,2010-05-23,470
rdj,2010-05-30,449
rdj,2010-06-06,360
rdj,2010-06-13,302
rdj,2010-06-20,286
rdj,2010-06-27,282
rdj,2010-07-04,288
rdj,2010-07-11,252
rdj,2010-07-18,229
rdj,2010-07-25,325
rdj,2010-08-01,289
rdj,2010-08-08,275
rdj,2010-08-15,187
rdj,2010-08-22,194
rdj,2010-08-29,145
rdj,2010-09-05,108
rdj,2010-09-12,120
rdj,2010-09-19,89
rdj,2010-09-26,97
rdj,2010-10-03,65
rdj,2010-10-10,79
rdj,2010-10-17,66
rdj,2010-10-24,76
rdj,2010-10-31,101
rdj,2010-11-07,148
rdj,2010-11-14,181
rdj,2010-11-21,263
rdj,2010-11-28,316
rdj,2010-12-05,373
rdj,2010-12-12,438
rdj,2010-12-19,473.0000000000003
rdj,2010-12-26,507.99999999999994
